split,address,num_nodes,num_edges
train,0x025460864660f4651483b07d47c16e52aeb6dd4b,185,184
train,0x02585e4a14da274d02df09b222d4606b10a4e940,912,911
train,0x025abAD9e518516fdaAFBDcdB9701b37fb7eF0FA,526,525
train,0x025db0ad4f49ae49102246bbb5120a619e9562c0,1319,1318
train,0x0260c78d494f0fefc7f42ebab710768feeebc017,350,349
train,0x0263e76b500a3cf6b31753a70055d9a05a3e655b,656,655
train,0x0266151c5b5ba83fb1d7abedd70da3736180f4a2,350,349
train,0x026e39be56bd57657204e34d5bdb80c85709d0ee,544,543
train,0x026eb3120e81270dd7aeb0c240851c0b82407693,346,345
train,0x0279f2882d32f19661649535d802a8df9efd7d6f,411,410
train,0x0281d3d07af19c504d4dde8af899c12781f89a69,350,349
train,0x0297c3970da02bb88a411d3665e0e2ecfad20206,203,202
train,0x02aa481223f81b30ae9ccd4845ebfc3d4f4be068,349,348
train,0x02b0cfdc2ce5775feb68be62a7df3bba56598817,1114,1113
train,0x02b35b885595427f28c46066c61b73ad957ac2f8,417,416
train,0x02b6700c0282a687d66f3e09723bed55f23d5b83,352,351
train,0x02c56f1e280fd64cb034385dbb26ede7517b6198,953,952
train,0x02cb1adc98e984a67a3d892dbb7ed72b36da7b07,999,998
train,0x02cf57be43971ce5446f7893d9a73d3571976e06,272,271
train,0x02d91ac9fd1c0c9762f9591c7acb37d23f6fc927,350,349
train,0x02dbe2f315e059743376abcd22ab4908ea9fb02d,760,759
train,0x02dc5c6317cb81fc1ba5fd7fcb773f5a42deb700,1335,1334
train,0x02e2c4e6b91734f1f3d2cf4bc4ec4db4a51bf04f,318,317
train,0x02f2563fadac788ce0965443b232d1e26e50e5fe,350,349
train,0x02f63293d2028a6de37f1d9545e66246a0a45911,55,54
train,0x02fef77de4bbaf4adfb5ff7b81312e3cdebde646,350,349
train,0x0301256716f6a18666db5a6009c2bff7c98fdde9,102,101
train,0x0326ade59900f4e99e029362a076063a6d542a58,1868,1867
train,0x0339f0a4ebd50da09aa623e1d3e341c5b66851cf,471,470
train,0x033e698da77de33120c703e373f43525b10f8e68,6826,6825
train,0x033fd9f42f7e1566b893b31078a62b2b959ebd72,1509,1508
train,0x03425fA34130C148Fe922Ff8880409C79410A879,429,428
train,0x0353813310f99e7f26cbee085917d0de5964d386,308,307
train,0x0356a7871e3ab819a5183bd367ea6187f6e3acc8,3719,3718
train,0x0356e14C2f8De339131C668c1747dEF594467a9A,330,329
train,0x035a401972f228b58dcae76bf318b54ed036d680,957,956
train,0x035c8119a68a8f762fe2731fa190a5afcba653a3,349,348
train,0x036407F23D5E1C1486F7488332CF54bf06E5F09F,550,549
train,0x038cabdd362c5a5192f968caedfa8ce8777b312d,613,612
train,0x038cf0fe8b400538211b0cdc2dbf4e9a8a36bda4,170,169
train,0x038Da599A137f89f49b43cd0d561d5E159058b60,453,452
train,0x0396340f16bbec973280ab053efc3f208fa37795,402,401
train,0x03a6290b5c0875313422ee003bd323979c8d1ac2,112,111
train,0x03a6d45820edb4e66e41ece0dc96170e875a1d16,613,612
train,0x03a7b9266b98904a7807ee3f5d03b272d614e064,350,349
train,0x03ab37e5754f55c965101ba1623b3bc91e819b28,23,22
train,0x03abf8b032feebef9f3ad74459d4a951f8cc84ba,2046,2045
train,0x03ad838d4d962fa6b187dc10e8513e595a32f889,470,469
train,0x03b0be689f36f383568d0a2486834cc6ceddda50,985,984
train,0x03B2DC629520693e69339BAF84fD74CDcCCB275C,829,828
train,0x03bb85e156a5daf4b1e3357f251310a0e7e78b18,350,349
train,0x03c18d649e743ee0b09f28a81d33575f03af9826,1873,1872
train,0x03cf94938696812a3615a98cdfcf82598ef30158,4121,4120
train,0x03e9aa975f78447e525bdacf9b78d203d55ad89a,526,525
train,0x03fda8d2b2cb20a72e1fa6ee87f7356153b7123c,350,349
train,0x041b3eb05560ba2670def3cc5eec2aeef8e5d14b,1032,1031
train,0x041d26dcceda7fd82898cd7dce0ae7da6031ee51,181,180
train,0x0429047892b8a903c0b4fbbd26e85d288f7af958,480,479
train,0x042a277368cb43A70b06361E7ab7D1D0A2096B0e,252,251
train,0x042c2d72F48bC09B7b7078d4ba6f6a8DdCaef838,453,452
train,0x0434466d3e9f8b9e01e6cf719eb5d266959b4f08,355,354
train,0x0436d3110dee47f177bb5d9b7ea5ce5d712522e8,285,284
train,0x04377099cc9dfec0f4bb55189a142959eae293a8,287,286
train,0x043a0f6f167c81d6bc22066c0525fe88a2da3c5a,296,295
train,0x043bef377cb396756d177fda57f1ff941959a0cd,342,341
train,0x0445ae32d33066a29e4573bf15d4a2a9690ab754,361,360
train,0x045017b207afbac0b104acbe2114c8dca369f305,350,349
train,0x045129cba354a107eceb686300dabe2bdee6e453,548,547
train,0x045c60df00aa2b7ff1753ee81b57bfe5e290e732,535,534
train,0x046ca79f69c12a443eba6570610cb53030e66ef0,103,102
train,0x047b992d4f5c5ef58fc77b76708aa9bd35ad1cd8,1358,1357
train,0x047BE01729131132D47e54c95cA1F3E14044DFBf,344,343
train,0x04811b269ce3feccf2dffb13a79aed13b1cbf296,695,694
train,0x0482bd68cdba85abe413db123985fb46deb25a4e,407,406
train,0x04830e45762f09853b398d1d03003fda7c978597,1903,1902
train,0x048431fe46a02ee28497919224ef3144f68a872b,288,287
train,0x048717ea892f23fb0126f00640e2b18072efd9d2,8537,8536
train,0x04874548a2c233f57ba13c4d4cdee73c29811322,350,349
train,0x049399a6b048d52971f7d122ae21a1532722285f,393,392
train,0x049509cb0e5720a3eadd7e7f736a5a05cf810070,523,522
train,0x049a5bf874f241d94232137ef728a9c7dd0d7550,470,469
train,0x04b14c31c9fe219a16c62686cac58b4f702ce73f,354,353
train,0x04bf44a0159f900328173edc39eb472ec1c2faa9,352,351
train,0x04c39e68215a42d697d72ffcd8345a0155003b25,350,349
train,0x04cd5f369825c0b2ae1e7a6e8559734f6080fbb5,613,612
train,0x04d01b6145bc9db925ec1e80bc85f936a961210e,3563,3562
train,0x04daec4e1fc6a4b4555b509b7c5c673ebad29f1f,829,828
train,0x04e7eefd4f5831409cd7fdd0821bde32d9c800c5,513,512
train,0x04eadaa51c080391bf0c415420e2324b9a006848,466,465
train,0x04eb6febda6646032c6de98554e607f430c39797,1168,1167
train,0x04ed15fa8c47778589c1bf3451e0de25c1eed3ae,553,552
train,0x050663fa3f625e9accf534fb188bcb1dca0579b5,1143,1142
train,0x0507567f1ce102b70b27da7d74d52daa2d9b3011,544,543
train,0x0509a863569f2e9253a1fc8d4bc90a7a0cf9d2e4,741,740
train,0x050a0bb563e7cf21eb29df0bb39e9f092fa2cd3f,893,892
train,0x051fda7486480dd5abcf5dd742ef002a2ebb9ea0,2297,2296
train,0x0520959c7b38a2db9f9ed0f7b0fc621cf22c07a0,1288,1287
train,0x0525b2bF24ec0Bc5D8514747F250010E240207EA,335,334
train,0x052b7112f050a3fb79ee2afdc1c9e821a2b1f0c2,350,349
train,0x052d01d58729839b0fb9e321c63caf4f7a3de7fe,1103,1102
train,0x0532dd9ecb00c424c72335df4f60c11c03229ec0,679,678
train,0x0533FA1D4b6CB6FB0be65edFeAA03b11Dcd172C4,1358,1357
train,0x0535e6410a82B7a4185AB864e4edc83c1bDaF2c5,335,334
train,0x053c45e82c3b78aaf3303c1385dced942b2ea719,526,525
train,0x053e43d155519efc4616bdc2a8fef5a4eb4cec4e,596,595
train,0x05435983b4736d18d3c56e860d607f2825dc5d64,1441,1440
train,0x054ad3cd4a66f14bf5c0de2548a53be66995a4f6,617,616
train,0x054bbeffef8b77640fb1b3955c4f12f19cd0a8cc,291,290
train,0x054e9fc67e4bfeee098576f6d46dbbcc232745a2,102,101
train,0x0550CA1315DD195Cf5AA1c675A4611ac5ac8988A,335,334
train,0x0565043602218b8bcc3b1470a33de427561d9f79,499,498
train,0x0566c17dc2a9efcaa2f63e04cf06a69e8fc77f60,551,550
train,0x056c571b521a2e1545f99d8340990403b6c7abe9,613,612
train,0x0570318951cfb0e0c4c2af3070c1c040e0e8790b,927,926
train,0x05711090b4d375431e841ea79e52666f623d3353,2671,2670
train,0x0573e5acb7d65848564cd81b69d1046bdf870244,544,543
train,0x057bfea37ba2637dc00abd2ef0eab5abfbf31076,355,354
train,0x058306004a2acfcaf5160142adcb71e9bb6d38e9,400,399
train,0x05852E51E7c86333510327C64D8dDDC9D2264D24,6927,6926
train,0x058f4de2ce00b8d68905ca9eae550b326bd9d691,545,544
train,0x059468db0af9a1c0079ee0fc1d5773aec585cc72,740,739
train,0x05a0b0eadd54d13ef3fe015f2ede197a822bc8fc,829,828
train,0x05a0ea0e87d273e6a1fe04ca8b5a795422d7507b,587,586
train,0x05a271f117c42d77f77b0e4491f603c0370806e9,365,364
train,0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa,89,88
train,0x05a632dab15b1f3e012ad1ac6a23c6f0a1edd48b,544,543
train,0x05a9bd0d2d04ba1b2a4706c5a99397a2c7e8c89e,350,349
train,0x05acecc73ff68c850e0ff5a068262678966d9f4d,644,643
train,0x05b3abd9031a31a45121bda59c7bb52fc7db2590,308,307
train,0x05b9f9f8868631c4afd2b7f14600bfa3a64524be,350,349
train,0x05c7065d644096a4e4c3fe24af86e36de021074b,1200,1199
train,0x05cf67329a262818e67c080e9d511a34d36152c0,966,965
train,0x05d199c8a245d03c30b0b920e64dba76ea6d9710,544,543
train,0x05d379b48A8622ae4018309E116420Db4a38A225,306,305
train,0x05d3f719b45866da98059436a4baa33596bf2ad0,772,771
train,0x05d5cd67b6274ace2eb72a17beafdb06bdd9fca3,216,215
train,0x05e2555a234c5cc36d86406211fb2dd7fa6a5f63,421,420
train,0x05e75b895d04b4026ec5567296790d63c917323a,350,349
train,0x05eb2cd16d6407d69081d4748716e8bc6fc9d72f,350,349
train,0x05f4d78f7f42cc62a5b3a7e5abfe5eb3ff4ca1d3,523,522
train,0x05fa56daf3c7496854bf685e7f3f435f87589e58,662,661
train,0x05fab99daeb0b9179d66d4dfd5cbb57a9d73c4e5,544,543
train,0x05fceB069136e291f5241753E8E5ad2B55a372d6,442,441
train,0x05feb3b6c5fc0226eaba3f2354de0a79eb7d961a,497,496
train,0x060d0b85c8a352255cdfbbe8c910a00288f2a85a,353,352
train,0x06117df6a48d94402a2ccace1fb01c78328c95e4,350,349
train,0x06147110022b768ba8f99a8f385df11a151a9cc8,1104,1103
train,0x0614e57bbc71cd0b15217152d4b07af5e717d4ef,661,660
train,0x06295aDBd4D822Cf7CD033B597093c2dD06D349D,357,356
train,0x062d6ec3099208fd4a0e0ce4773e81f2b322d9d4,586,585
train,0x06300cec31cf8edf74a17dac79cbc66355113179,1083,1082
train,0x06308b924dc8fe805bd28d3170b7c8b9909e4eba,718,717
train,0x06490802a5628eea6d701d02bd7db7f42b9208dc,350,349
train,0x064ccc4e93d4fd48b4064c76a15da17247528b23,1341,1340
train,0x0661f61a286eb1f4383c5128b3178a6809eebf6c,477,476
train,0x066420ff2af331b3f7c1a5925121e068c69614df,789,788
train,0x066b2063d4bd8cade177c55de659884c40bf2b8f,497,496
train,0x066dc885fd8ed7a6e8adcafcea40621a86367fd3,345,344
train,0x066eee2be6388f8c19983185906ed89724c7b4cd,542,541
train,0x068696A3cf3c4676B65F1c9975dd094260109d02,1669,1668
train,0x06a336b88d72f471bb54438c42ecb1f9f3cf7df7,711,710
train,0x06a7b44045c0d7999bdc711d3b04fbe1d5490796,438,437
train,0x06b39e8fddaa73813ac07a1e9752dc4249f9c88a,1637,1636
train,0x06ba669680584b8bf8be2df362cfcf10a7430085,297,296
train,0x06Bb6701983E126f31a4C20d6bECB12dfD70709E,370,369
train,0x06be72c75867bb31e546575cc79317cf82cc4115,613,612
train,0x06Cd2eEF7497911037ed631CAe1ecb307B4D4de1,617,616
train,0x06d191c4bc47138d5d79eb881deea86c93e6603b,544,543
train,0x06d3c687d94a6b15076fbbaff1ca73e3a674b402,1214,1213
train,0x06d70ba8fb76c0f86896d82a78a4b8da85462906,399,398
train,0x06ddef90c123b166769c2b4dfdfdf7854a72b036,1177,1176
train,0x06ecbdacda591a378c66dfd297a911b3ca6f3217,268,267
train,0x06Ee3390532f493B4C3a41aA6E396ec750C038d7,350,349
train,0x070ab8286ccb4ff37c1945a0f17fa69347453169,348,347
train,0x0712e1506f9bf1c66c8ba997ff1bf998a057d536,350,349
train,0x071d9bb8f35685137633134dfe41415dd0b4308d,285,284
train,0x0723105914f7050151e5f8b941e09f826b11f6b8,580,579
train,0x0729377becbd653b9f14fbf2956cfd317bf2afdd,287,286
train,0x072e07394a4a0446b3c8f6cb6675f315c8729501,1213,1212
train,0x0732673feae6ac9899cf078146ebb157ab264099,3,2
train,0x073d13fe4d79896a59fe904b8d8ebf7a2f607378,399,398
train,0x073D6621E9150bFf9d1D450caAd3c790b6F071F2,3302,3301
train,0x07536201e0c4c7751c9cfed79f1bf5dba4772c9e,85,84
train,0x075a0f607a3072e748ef4bde2cbffe4db60268e9,565,564
train,0x075a5d77E17502ABa0388746aA229BB33682f521,1171,1170
train,0x075e3b0912f61fd347900c8130a253f29e4c7201,285,284
train,0x0766315FC8257F890B683b5F9fAA9875c7846b4D,738,737
train,0x076719c05961a0c3398e558e2199085d32717ca6,3870,3869
train,0x076C97e1c869072eE22f8c91978C99B4bcB02591,468,467
train,0x076ce20cafa1eed53dea8f34079b4bb31cc5c503,696,695
train,0x0772928b3dC59ACAD8783F01506fE2CbA4f6A775,1990,1989
train,0x0776aa01b3e5efc2c403d548ca26007c155f1bc9,572,571
train,0x07837872a605461981127653c6d21e45c9cf1805,1292,1291
train,0x0783e1ab0f36512ca4b1c883a98cbea98566946d,3360,3359
train,0x078886b1cbd81941a88cee842971bbc7cd91e069,350,349
train,0x07995e463F8957B70d683ADDd00a695ba83bb324,470,469
train,0x079b9e911109ee8518A71266fEBA7CAfB748EE5A,516,515
train,0x079c8219eb6d9a3ac71035b365a6f61133fca05d,613,612
train,0x07a58629AAF3e1A0d07D8f43114B76BD5EEe3B91,840,839
train,0x07be17b2695881fa100e92815edcff0b042b4a8c,350,349
train,0x07c5b1e4391fcdfc6c12548448aeee30a3793079,453,452
train,0x07c832778f2b54ff373b0a59d848b3fbc4939f34,664,663
train,0x07d6c9b63dc0af6bdb32e924fc4e1a689391d230,17,16
train,0x07d8302a5115653408f97d2f59c65be88ec1a352,483,482
train,0x07E040D474a584cD2E7e4A819fA18420BeB5Eb4f,780,779
train,0x07e76a4c93ea197cb578fef37d046972890df61b,1409,1408
train,0x07f2a3ac67517b1d2b777d7f61d943c4b9d359d0,456,455
train,0x07f8290737585459df99f20aa322d6cc8eda93c3,613,612
train,0x0824d3c0445a0200ed69aeb129e5601108af2192,350,349
train,0x082731cfe45a50e43eb7af6fda41ecefd497f25c,422,421
train,0x083da6ad785894d4f249236ec52c13ca3c689ca7,211,210
train,0x0848078b2fdd325f56c7d4dc1856e06ece831fa8,544,543
train,0x0848e84Aa70274c1E51D71564bde2211eE0406F7,1034,1033
train,0x0850fd76fa34a1009e31a689b45aee9d3c71b121,778,777
train,0x085bf17D6c557254D0370514B97d16307B8f0775,1122,1121
train,0x08776f41d8507ae16327a2edb86069c74e3453d2,707,706
train,0x089431F295b58c17C0b1754Be2e15d706e990151,256,255
train,0x089a6d83282fb8988a656189f1e7a73fa6c1cac2,1298,1297
train,0x08AD34f1A18285Bf7BAC2c68d0B7017a423FE1de,187,186
train,0x08aecd1d0470cd6facd1df229f8763e40e830ca3,436,435
train,0x08B63cBC9589CcDcaf8c801053E6FA9663331250,955,954
train,0x08c5a77bf3d3bf96fcad0f17d5a44f013f983af1,342,341
train,0x08cdcf9ba0a4b5667f5a59b78b60fbefb145e64c,1000,999
train,0x08cee0ab11fe46e29c539509f25bcbda2f70e2bf,3737,3736
train,0x08d01228a985b3a86a993342436fcb411b43a312,91,90
train,0x08d109b4be6d131acacddd6fb6fa6f93e7ec72fe,193,192
train,0x08d32b0da63e2C3bcF8019c9c5d849d7a9d791e6,924,923
train,0x08df2b3be10f7e09881dc2cbdd9afafe048607ed,523,522
train,0x08e1b742aa2b585eaa6021fbe380f3b6fef5d914,775,774
train,0x08e836f7d4804d39e798b6459fa54543f260d4c0,617,616
train,0x08ec0c80d98ffc16397b09db8b69b9fae9714915,403,402
train,0x08f098fe15179a9e3406fb30c49ee8ff4ae7d42f,552,551
train,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,579,578
train,0x08fa47c50bc9c05ec1a16d310d08f9c40beedf94,906,905
train,0x08fc9307e928076062460a0c4db0d2461591ed71,1202,1201
train,0x08fca9bfaed36c29ee3435206158f13dedf4a859,986,985
train,0x08fd34559f2ed8585d3810b4d96ab8a05c9f97c5,1249,1248
train,0x0907fe14b47cecde6138b48ad33469495bf8f295,68,67
train,0x0908f1678ea2aa69912ed9b45861e2cfe5c41c35,485,484
train,0x090fC358FA1a992C083590c7dd33Ad5208A02e9d,704,703
train,0x0911ccc23dab34d2aed4b6d1cc00f49ab2451e1f,350,349
train,0x09133d5AcFF2353d3860F1dc455589A941cF5EBd,1145,1144
train,0x09181c5e6f1bb206d1d1df5a43be922322b378bf,869,868
train,0x0920eab34b13eabdef261a68e2883713ed620946,274,273
train,0x09263d1a5ed92e2576b455a409676cfbc4f7d275,448,447
train,0x0927feb960012fbceaac13612300d565ed50ae57,667,666
train,0x09287b5f9eb273023facd94ab5a61f5af749ecc8,778,777
train,0x092cc215a5018f0ee10ade9ebec4db6ce25264b0,350,349
train,0x09617f6fd6cf8a71278ec86e23bbab29c04353a7,967,966
train,0x0961ab89e7a6e557c30f30368480b55bc8fa41f1,350,349
train,0x0964f4a42f902ce85973f3083541fd080369b87e,804,803
train,0x09678741bd50c3e74301f38fbd0136307099ae5d,1617,1616
train,0x096d7ce60278e623c0b5763a0d04fde844d2c537,3913,3912
train,0x096f35b262b4785876f1ed04fc7c474ae58a21b6,350,349
train,0x096f4002747bde03416dc979e8a9bab48cf8ed85,553,552
train,0x098af9afa803e2598bda464ea2fa0e144649f3f9,249,248
train,0x0994B7e142C0AC1B6554DaA64c7865dDC4e54DF7,683,682
train,0x09971fb3ebd22e3afea9f214ddbc85a03f993fe9,859,858
train,0x09a347a9d6ea6f319b3ff05b14cee12a8c2d3d6e,738,737
train,0x09a9b53a3c0aa29004b91b3e7448fc9fc8aae300,350,349
train,0x09c93ba00e0f908a8b6853357321b418eb4fe787,669,668
train,0x09d8b66c48424324b25754a873e290cae5dca439,551,550
train,0x09debe702678140c1be278213109719fab98d0d8,350,349
train,0x09e33737e4b56ffd7fa092fae2109662141ab87f,118,117
train,0x09e974b6e99293f5f53c595e8cedda7965611e69,358,357
train,0x09f12bec5a14ca52cce842d8b885664299ba5ac8,499,498
train,0x09f5ee84f440eeba099fcfa6bcf421811a051168,371,370
train,0x09fe365076429a478f8b5391de59c362d3ab5004,617,616
train,0x0a0af8a0604ba0c40d81e6b766a0f44aa6616431,350,349
train,0x0a1524bfbb8905de0a3b15bdf8d678e7fb9c8c68,953,952
train,0x0a18fcacf80a205119f6dace51e9119f2f1c0e5f,1703,1702
train,0x0a26eccb83e056bb31cbe38c4d1a73c23b572191,350,349
train,0x0a283ed40e2f050b53094d08bde36f67db50bcfa,434,433
train,0x0a2a94Ded0b8C9cB3BD4Ec2ef86eeEE637A4Db7C,338,337
train,0x0a2b7fd09f82b221f4704dc2501eb4c12cce346d,728,727
train,0x0a2d553217e92c6553334723f0669cc3f61fd569,542,541
train,0x0a2e310409f7589c9e8640abf98ca2b7b35f938c,933,932
train,0x0a313162fa66c21ea2641040e7e43933e6904880,881,880
train,0x0a370f465c4d80a2e0131b7e76fec8decf3629c7,1140,1139
train,0x0a38971163ebc064e8dc8df334e13ea8c917d06b,350,349
train,0x0a40E12618c3bd5295F39416506b86A70b52e08f,685,684
train,0x0a61c13945cf8dc008097464534e3b0aeee557d6,770,769
train,0x0a630de26e5b41eaef08741e74da4018a6c2e14c,177,176
train,0x0a7458ee9ba969ea5959f656047085d7e99dd3dc,2666,2665
train,0x0a7fe56109bacbcc525142aede71ab5bf8934cf2,419,418
train,0x0a9Aa2003215BfBc6caf9a49256e9F4EC42b3c3D,620,619
train,0x0a9b6bf5093a934c87ec8ae90e2173982946934e,295,294
train,0x0a9b9d976de8e09f0b57d1d7f344abe77925145c,716,715
train,0x0a9d1a2ef992d5d9fa366d287bfaba5994ebb9ef,725,724
train,0x0aa4e6e25a76f81f079aa300c33621e20c632e6a,750,749
train,0x0aac84ef458e67758a2991a769d979981cd41fc4,1021,1020
train,0x0aaf8865a6cbf417e7ad51fe71fe60f1a0c192f8,8419,8418
train,0x0aBCe3Be0075d067E12dA8d266De752E20ff9842,239,238
train,0x0ac1eb22b98cdd76796401ff462a96da9dbf07d4,823,822
train,0x0acd8381190a3506407ac5e7409a9205e3aa1a08,617,616
train,0x0adc6711e770f6354d18f2c7c4054ed4b8402f19,350,349
train,0x0adcae90088fae1007555733b4d3d63f24f4a2a3,249,248
train,0x0aecaad227f0c0dbddddef7e9a841d19c61b2724,1398,1397
train,0x0af1b410a7915ce6b4754b355d37cc38e59b7edd,1069,1068
train,0x0af46b0c6d12f6d498f623f9184ee9ac58c2b806,410,409
train,0x0b03f47040ade1a693342b14a76127ef040903db,520,519
train,0x0b041df86f8d869c6e0cafb211d11d8c58394d95,350,349
train,0x0b1225323ff8dafee69643068bedbb0e351b8271,350,349
train,0x0b1724cc9fda0186911ef6a75949e9c0d3f0f2f3,1144,1143
train,0x0b1e9e95f0655716ee00ae455caf9ba01364491a,742,741
train,0x0B315cb0A44835a5582d1c6Da3510B85Bdc01626,3403,3402
train,0x0b38bcec2b7404490a16a9fbbd3a87e14dac0367,189,188
train,0x0b3cedf1fb7f835cd4b7bd49b8a14f8c388bc24f,399,398
train,0x0b444993e305016f213a030c9af4013a8c537b63,227,226
train,0x0b4bdc478791897274652dc15ef5c135cae61e60,226,225
train,0x0b4ce72a70e87bee66e0f43e9c861366e9d7de19,789,788
train,0x0b5cba1bc5ec084e82fadc4e2c3a43a94660b6c4,1147,1146
train,0x0b5dcd8cf2e32c2cebead397ea857d2e8547f297,114,113
train,0x0b5f57467db959b959410f83e3810fcfaa592f5b,508,507
train,0x0b6ddd1c0b7ab2dffccbbf95002713774677cbec,502,501
train,0x0b6f6e073a08ab8fd458527c47ed83982ff26851,295,294
train,0x0b75fbcb65d6a022e4c0be96a5e64159bb43e869,434,433
train,0x0b76544f6c413a555f309bf76260d1e02377c02a,604,603
train,0x0b7c723afbd859a2b9eebb7a0b674ab38d79c027,421,420
train,0x0b983fa1bcbdf24bdbfacb660faa76c586a16c64,397,396
train,0x0b9cab17883e721888c22b2bcb5a00f91a711989,585,584
train,0x0b9e9c56ec900fbea85546444458d3c31ab60572,513,512
